Model,STS
Serial,S07382
Integration Time,100
Time,20170110-105631

Wavelength,Count
337.60,121.00000
338.05,147.00000
338.51,125.00000
338.96,138.00000
339.42,142.00000
339.87,143.14286
340.32,144.00000
340.78,143.85714
341.23,144.71429
341.69,144.85714
342.14,142.71429
342.60,144.14286
343.05,144.28571
343.50,147.42857
343.96,146.57143
344.41,149.14286
344.87,150.57143
345.32,155.00000
345.78,155.71429
346.23,156.57143
346.69,155.14286
347.14,156.42857
347.60,157.42857
348.05,157.57143
348.51,157.57143
348.96,158.00000
349.42,155.57143
349.87,158.57143
350.33,159.71429
350.78,159.00000
351.24,157.42857
351.69,153.28571
352.15,151.42857
352.60,148.28571
353.06,146.85714
353.51,142.85714
353.97,142.71429
354.42,142.42857
354.88,148.14286
355.33,150.14286
355.79,153.14286
356.25,153.28571
356.70,159.57143
357.16,160.42857
357.61,161.00000
358.07,158.85714
358.53,159.42857
358.98,162.42857
359.44,164.28571
359.89,162.71429
360.35,165.71429
360.81,168.00000
361.26,168.71429
361.72,170.42857
362.17,169.85714
362.63,167.85714
363.09,169.71429
363.54,167.85714
364.00,168.42857
364.46,169.71429
364.91,166.00000
365.37,169.42857
365.83,173.14286
366.28,171.14286
366.74,171.42857
367.20,171.57143
367.65,173.85714
368.11,175.85714
368.57,172.57143
369.03,168.00000
369.48,168.57143
369.94,170.14286
370.40,168.71429
370.85,166.85714
371.31,166.00000
371.77,162.85714
372.23,167.85714
372.68,167.42857
373.14,166.28571
373.60,166.71429
374.06,170.71429
374.51,172.42857
374.97,179.57143
375.43,179.00000
375.89,182.14286
376.34,183.14286
376.80,185.14286
377.26,181.57143
377.72,184.00000
378.18,181.71429
378.63,183.42857
379.09,183.28571
379.55,185.42857
380.01,186.00000
380.47,188.85714
380.92,184.00000
381.38,186.00000
381.84,184.00000
382.30,185.28571
382.76,184.71429
383.22,179.57143
383.67,179.00000
384.13,183.57143
384.59,183.28571
385.05,184.28571
385.51,182.57143
385.97,182.14286
386.43,188.57143
386.89,188.00000
387.34,188.28571
387.80,191.28571
388.26,193.85714
388.72,198.00000
389.18,201.14286
389.64,198.14286
390.10,202.57143
390.56,200.42857
391.02,201.14286
391.48,196.57143
391.93,195.57143
392.39,192.42857
392.85,195.71429
393.31,190.14286
393.77,196.00000
394.23,195.57143
394.69,200.71429
395.15,199.00000
395.61,202.57143
396.07,203.85714
396.53,211.57143
396.99,211.85714
397.45,212.85714
397.91,214.28571
398.37,216.00000
398.83,217.28571
399.29,217.14286
399.75,215.28571
400.21,212.28571
400.67,213.14286
401.13,210.71429
401.59,214.00000
402.05,213.71429
402.51,215.71429
402.97,215.14286
403.43,214.28571
403.89,212.42857
404.35,217.28571
404.81,216.28571
405.27,215.71429
405.74,216.42857
406.20,220.42857
406.66,224.71429
407.12,226.14286
407.58,218.71429
408.04,217.28571
408.50,213.28571
408.96,214.28571
409.42,212.00000
409.88,212.14286
410.34,216.28571
410.81,220.85714
411.27,225.28571
411.73,232.28571
412.19,232.28571
412.65,230.85714
413.11,233.00000
413.57,233.00000
414.03,237.71429
414.50,239.28571
414.96,239.14286
415.42,239.57143
415.88,242.57143
416.34,240.28571
416.80,239.42857
417.27,240.57143
417.73,239.14286
418.19,240.71429
418.65,244.85714
419.11,248.57143
419.58,254.00000
420.04,254.28571
420.50,256.14286
420.96,261.57143
421.42,261.00000
421.89,262.28571
422.35,263.57143
422.81,263.57143
423.27,267.71429
423.73,267.57143
424.20,267.71429
424.66,270.85714
425.12,270.71429
425.58,270.00000
426.05,268.85714
426.51,270.71429
426.97,272.57143
427.44,270.71429
427.90,270.57143
428.36,274.28571
428.82,278.42857
429.29,282.00000
429.75,283.57143
430.21,284.00000
430.68,288.57143
431.14,291.71429
431.60,291.14286
432.06,285.14286
432.53,289.00000
432.99,292.85714
433.45,298.28571
433.92,300.00000
434.38,305.28571
434.84,310.28571
435.31,317.85714
435.77,318.71429
436.24,318.85714
436.70,318.14286
437.16,321.14286
437.63,323.57143
438.09,318.85714
438.55,317.57143
439.02,318.00000
439.48,315.28571
439.95,320.28571
440.41,323.42857
440.87,324.00000
441.34,330.28571
441.80,335.42857
442.27,337.85714
442.73,344.00000
443.19,348.28571
443.66,351.71429
444.12,354.28571
444.59,356.57143
445.05,365.00000
445.51,373.14286
445.98,376.28571
446.44,376.28571
446.91,378.71429
447.37,382.14286
447.84,385.00000
448.30,387.42857
448.77,389.42857
449.23,391.14286
449.70,392.71429
450.16,394.85714
450.63,398.85714
451.09,405.71429
451.56,407.85714
452.02,406.57143
452.49,410.42857
452.95,418.42857
453.42,424.71429
453.88,428.14286
454.35,434.14286
454.81,438.85714
455.28,444.85714
455.74,452.57143
456.21,455.00000
456.67,452.42857
457.14,457.14286
457.60,456.14286
458.07,458.71429
458.54,467.28571
459.00,471.00000
459.47,474.14286
459.93,483.57143
460.40,484.71429
460.86,488.00000
461.33,483.71429
461.80,485.00000
462.26,489.14286
462.73,494.28571
463.19,497.42857
463.66,503.57143
464.13,508.28571
464.59,521.57143
465.06,526.42857
465.52,532.85714
465.99,532.28571
466.46,538.57143
466.92,539.14286
467.39,546.57143
467.86,548.57143
468.32,551.28571
468.79,552.28571
469.25,561.42857
469.72,566.28571
470.19,575.28571
470.65,576.57143
471.12,583.14286
471.59,587.71429
472.05,593.71429
472.52,600.00000
472.99,600.85714
473.46,607.00000
473.92,618.00000
474.39,625.14286
474.86,634.14286
475.32,633.42857
475.79,639.00000
476.26,647.71429
476.72,655.14286
477.19,662.14286
477.66,670.14286
478.13,676.71429
478.59,689.42857
479.06,695.00000
479.53,703.14286
480.00,707.28571
480.46,713.14286
480.93,720.14286
481.40,725.28571
481.87,736.57143
482.33,744.28571
482.80,752.57143
483.27,761.85714
483.74,770.57143
484.21,778.57143
484.67,792.71429
485.14,798.57143
485.61,811.85714
486.08,818.28571
486.55,826.00000
487.01,833.42857
487.48,843.85714
487.95,848.71429
488.42,857.71429
488.89,863.57143
489.35,876.14286
489.82,889.28571
490.29,898.57143
490.76,908.57143
491.23,913.42857
491.70,923.57143
492.16,935.71429
492.63,944.57143
493.10,953.57143
493.57,962.85714
494.04,973.42857
494.51,991.71429
494.98,1006.00000
495.45,1017.00000
495.91,1031.71429
496.38,1040.28571
496.85,1052.85714
497.32,1061.85714
497.79,1062.28571
498.26,1074.28571
498.73,1086.14286
499.20,1092.14286
499.67,1108.57143
500.14,1123.28571
500.61,1135.14286
501.07,1156.85714
501.54,1164.57143
502.01,1172.42857
502.48,1186.00000
502.95,1197.00000
503.42,1209.42857
503.89,1225.28571
504.36,1241.85714
504.83,1257.14286
505.30,1274.71429
505.77,1284.57143
506.24,1301.28571
506.71,1314.71429
507.18,1328.85714
507.65,1341.71429
508.12,1356.28571
508.59,1369.00000
509.06,1390.00000
509.53,1405.85714
510.00,1420.28571
510.47,1434.42857
510.94,1449.14286
511.41,1469.42857
511.88,1490.28571
512.35,1507.28571
512.82,1518.28571
513.29,1533.00000
513.76,1540.71429
514.23,1557.71429
514.70,1568.71429
515.17,1584.71429
515.64,1601.28571
516.11,1618.00000
516.58,1637.14286
517.05,1662.28571
517.52,1680.71429
518.00,1700.42857
518.47,1713.57143
518.94,1733.85714
519.41,1749.85714
519.88,1769.57143
520.35,1783.71429
520.82,1800.71429
521.29,1813.85714
521.76,1834.42857
522.23,1848.42857
522.70,1866.28571
523.18,1884.85714
523.65,1904.00000
524.12,1918.14286
524.59,1937.57143
525.06,1954.85714
525.53,1971.85714
526.00,1994.42857
526.47,2011.57143
526.95,2033.42857
527.42,2050.57143
527.89,2073.57143
528.36,2090.42857
528.83,2107.85714
529.30,2127.57143
529.78,2145.14286
530.25,2155.42857
530.72,2176.28571
531.19,2197.71429
531.66,2215.57143
532.13,2239.57143
532.61,2257.14286
533.08,2273.71429
533.55,2302.00000
534.02,2327.57143
534.49,2339.28571
534.97,2360.71429
535.44,2380.42857
535.91,2399.71429
536.38,2423.71429
536.85,2441.14286
537.33,2456.71429
537.80,2483.71429
538.27,2512.28571
538.74,2527.28571
539.22,2549.28571
539.69,2569.14286
540.16,2590.57143
540.63,2612.00000
541.11,2630.28571
541.58,2645.85714
542.05,2669.14286
542.52,2694.28571
543.00,2713.42857
543.47,2739.00000
543.94,2756.14286
544.42,2768.00000
544.89,2789.00000
545.36,2811.28571
545.83,2833.42857
546.31,2855.28571
546.78,2872.85714
547.25,2899.42857
547.73,2930.28571
548.20,2955.71429
548.67,2973.28571
549.15,2998.42857
549.62,3026.00000
550.09,3047.14286
550.57,3069.71429
551.04,3090.85714
551.51,3110.42857
551.99,3143.28571
552.46,3158.00000
552.93,3174.57143
553.41,3199.00000
553.88,3218.28571
554.35,3238.28571
554.83,3261.42857
555.30,3275.28571
555.78,3298.85714
556.25,3326.57143
556.72,3349.57143
557.20,3377.28571
557.67,3400.71429
558.14,3419.00000
558.62,3442.00000
559.09,3460.71429
559.57,3481.85714
560.04,3508.14286
560.52,3533.57143
560.99,3561.57143
561.46,3585.28571
561.94,3611.42857
562.41,3640.28571
562.89,3661.00000
563.36,3688.28571
563.83,3704.00000
564.31,3721.14286
564.78,3744.57143
565.26,3766.57143
565.73,3791.00000
566.21,3820.85714
566.68,3841.14286
567.16,3859.57143
567.63,3886.85714
568.11,3917.57143
568.58,3943.28571
569.06,3961.42857
569.53,3985.57143
570.01,4007.71429
570.48,4041.57143
570.95,4068.71429
571.43,4085.85714
571.90,4110.71429
572.38,4135.71429
572.86,4160.57143
573.33,4184.57143
573.81,4211.28571
574.28,4232.28571
574.76,4262.85714
575.23,4292.28571
575.71,4319.14286
576.18,4339.28571
576.66,4362.00000
577.13,4379.28571
577.61,4405.42857
578.08,4428.57143
578.56,4451.57143
579.03,4471.42857
579.51,4500.14286
579.99,4524.71429
580.46,4551.28571
580.94,4583.57143
581.41,4603.28571
581.89,4625.71429
582.36,4654.42857
582.84,4681.00000
583.32,4705.57143
583.79,4736.28571
584.27,4758.42857
584.74,4785.42857
585.22,4804.14286
585.70,4826.42857
586.17,4846.07143
586.65,4878.64286
587.12,4900.21429
587.60,4923.64286
588.08,4952.07143
588.55,4984.35714
589.03,5013.07143
589.51,5034.57143
589.98,5055.42857
590.46,5088.14286
590.93,5105.28571
591.41,5116.71429
591.89,5135.28571
592.36,5164.14286
592.84,5195.71429
593.32,5225.85714
593.79,5246.57143
594.27,5277.85714
594.75,5318.85714
595.22,5352.71429
595.70,5383.42857
596.18,5397.85714
596.65,5413.57143
597.13,5441.71429
597.61,5459.57143
598.09,5483.14286
598.56,5503.00000
599.04,5520.57143
599.52,5556.71429
599.99,5591.42857
600.47,5608.71429
600.95,5646.85714
601.42,5669.28571
601.90,5686.85714
602.38,5713.85714
602.86,5738.14286
603.33,5754.14286
603.81,5781.71429
604.29,5802.57143
604.77,5821.57143
605.24,5857.28571
605.72,5879.85714
606.20,5906.71429
606.68,5931.42857
607.15,5958.42857
607.63,5979.42857
608.11,6007.85714
608.59,6027.00000
609.06,6054.85714
609.54,6078.57143
610.02,6105.14286
610.50,6122.14286
610.98,6154.85714
611.45,6179.42857
611.93,6210.85714
612.41,6229.28571
612.89,6246.00000
613.37,6270.57143
613.84,6308.00000
614.32,6323.57143
614.80,6350.28571
615.28,6373.71429
615.76,6397.85714
616.24,6427.28571
616.71,6447.71429
617.19,6467.00000
617.67,6494.00000
618.15,6520.42857
618.63,6539.28571
619.11,6565.28571
619.58,6594.71429
620.06,6625.71429
620.54,6649.00000
621.02,6685.71429
621.50,6706.57143
621.98,6736.42857
622.46,6762.28571
622.93,6773.85714
623.41,6807.00000
623.89,6837.28571
624.37,6847.00000
624.85,6866.57143
625.33,6897.85714
625.81,6913.28571
626.29,6935.42857
626.77,6958.42857
627.25,6974.71429
627.72,7005.00000
628.20,7045.57143
628.68,7059.42857
629.16,7097.57143
629.64,7132.00000
630.12,7151.85714
630.60,7171.28571
631.08,7193.85714
631.56,7217.57143
632.04,7251.85714
632.52,7280.71429
633.00,7311.42857
633.48,7333.14286
633.96,7370.57143
634.43,7393.42857
634.91,7414.85714
635.39,7434.00000
635.87,7456.28571
636.35,7481.14286
636.83,7505.14286
637.31,7531.28571
637.79,7554.85714
638.27,7577.85714
638.75,7605.57143
639.23,7622.57143
639.71,7641.00000
640.19,7670.57143
640.67,7689.42857
641.15,7713.85714
641.63,7735.85714
642.11,7772.14286
642.59,7791.71429
643.07,7804.71429
643.55,7835.57143
644.03,7853.42857
644.51,7876.71429
644.99,7904.42857
645.47,7924.42857
645.95,7957.57143
646.43,7989.28571
646.92,8008.85714
647.40,8037.14286
647.88,8055.14286
648.36,8083.28571
648.84,8095.42857
649.32,8118.00000
649.80,8144.85714
650.28,8167.42857
650.76,8188.14286
651.24,8225.00000
651.72,8239.57143
652.20,8267.71429
652.68,8287.71429
653.16,8321.85714
653.64,8345.14286
654.13,8370.57143
654.61,8383.14286
655.09,8415.14286
655.57,8447.28571
656.05,8469.00000
656.53,8476.42857
657.01,8497.00000
657.49,8523.42857
657.97,8556.71429
658.45,8586.85714
658.94,8602.28571
659.42,8631.71429
659.90,8665.85714
660.38,8685.42857
660.86,8717.71429
661.34,8746.71429
661.82,8759.85714
662.31,8781.14286
662.79,8806.00000
663.27,8825.28571
663.75,8847.42857
664.23,8855.71429
664.71,8882.28571
665.20,8899.14286
665.68,8935.00000
666.16,8953.85714
666.64,8979.85714
667.12,9017.42857
667.60,9044.00000
668.09,9058.85714
668.57,9088.57143
669.05,9104.14286
669.53,9138.14286
670.01,9159.28571
670.50,9176.85714
670.98,9209.57143
671.46,9232.57143
671.94,9255.42857
672.42,9277.85714
672.91,9287.85714
673.39,9314.71429
673.87,9329.28571
674.35,9340.57143
674.83,9360.71429
675.32,9390.57143
675.80,9407.28571
676.28,9430.71429
676.76,9443.85714
677.25,9476.28571
677.73,9512.71429
678.21,9536.71429
678.69,9547.42857
679.18,9571.71429
679.66,9590.14286
680.14,9631.57143
680.62,9634.85714
681.11,9662.00000
681.59,9692.71429
682.07,9722.14286
682.56,9739.42857
683.04,9774.57143
683.52,9788.00000
684.00,9825.00000
684.49,9840.28571
684.97,9860.28571
685.45,9864.57143
685.94,9906.42857
686.42,9910.42857
686.90,9933.71429
687.38,9949.28571
687.87,9960.42857
688.35,9988.14286
688.83,10022.28571
689.32,10027.71429
689.80,10055.57143
690.28,10067.85714
690.77,10109.42857
691.25,10119.14286
691.73,10134.57143
692.22,10150.85714
692.70,10165.14286
693.18,10203.00000
693.67,10222.85714
694.15,10230.57143
694.64,10276.42857
695.12,10289.00000
695.60,10329.42857
696.09,10343.71429
696.57,10367.00000
697.05,10405.85714
697.54,10421.71429
698.02,10447.85714
698.50,10462.14286
698.99,10483.14286
699.47,10530.00000
699.96,10539.28571
700.44,10552.14286
700.92,10581.57143
701.41,10591.00000
701.89,10628.57143
702.38,10643.85714
702.86,10666.57143
703.34,10697.85714
703.83,10715.14286
704.31,10744.00000
704.80,10770.28571
705.28,10779.85714
705.77,10804.00000
706.25,10814.14286
706.73,10822.57143
707.22,10847.85714
707.70,10862.85714
708.19,10880.00000
708.67,10912.28571
709.16,10936.14286
709.64,10961.00000
710.12,10984.57143
710.61,11001.85714
711.09,11017.42857
711.58,11041.00000
712.06,11049.28571
712.55,11066.57143
713.03,11089.28571
713.52,11103.85714
714.00,11115.71429
714.49,11137.42857
714.97,11150.57143
715.46,11171.57143
715.94,11190.57143
716.43,11208.85714
716.91,11234.57143
717.40,11257.42857
717.88,11278.85714
718.37,11304.85714
718.85,11332.00000
719.34,11321.42857
719.82,11342.28571
720.31,11368.00000
720.79,11396.14286
721.28,11410.14286
721.76,11431.42857
722.25,11451.14286
722.73,11486.00000
723.22,11504.57143
723.70,11528.00000
724.19,11559.28571
724.67,11576.28571
725.16,11595.28571
725.64,11603.14286
726.13,11638.57143
726.62,11646.85714
727.10,11641.42857
727.59,11642.14286
728.07,11668.14286
728.56,11692.14286
729.04,11720.85714
729.53,11724.00000
730.01,11747.71429
730.50,11793.42857
730.99,11815.28571
731.47,11837.57143
731.96,11855.85714
732.44,11881.71429
732.93,11923.71429
733.42,11948.00000
733.90,11959.57143
734.39,11988.14286
734.87,12000.28571
735.36,12008.14286
735.85,12023.42857
736.33,12020.71429
736.82,12041.57143
737.30,12049.14286
737.79,12058.14286
738.28,12078.14286
738.76,12099.42857
739.25,12112.71429
739.74,12137.57143
740.22,12149.71429
740.71,12171.00000
741.19,12184.57143
741.68,12202.14286
742.17,12209.57143
742.65,12230.85714
743.14,12251.42857
743.63,12262.14286
744.11,12275.57143
744.60,12299.00000
745.09,12297.28571
745.57,12327.28571
746.06,12339.85714
746.55,12356.71429
747.03,12379.14286
747.52,12400.42857
748.01,12406.71429
748.49,12445.00000
748.98,12451.85714
749.47,12458.71429
749.95,12465.57143
750.44,12476.14286
750.93,12475.00000
751.41,12505.14286
751.90,12509.42857
752.39,12535.00000
752.88,12557.28571
753.36,12563.14286
753.85,12577.57143
754.34,12601.42857
754.82,12602.57143
755.31,12619.57143
755.80,12620.85714
756.29,12627.71429
756.77,12651.71429
757.26,12654.57143
757.75,12659.42857
758.23,12671.85714
758.72,12681.42857
759.21,12689.57143
759.70,12713.14286
760.18,12713.71429
760.67,12736.00000
761.16,12767.71429
761.65,12780.14286
762.13,12790.00000
762.62,12800.57143
763.11,12803.42857
763.60,12829.00000
764.09,12833.14286
764.57,12824.42857
765.06,12825.42857
765.55,12845.14286
766.04,12848.57143
766.52,12853.42857
767.01,12844.71429
767.50,12848.42857
767.99,12857.14286
768.48,12860.42857
768.96,12842.71429
769.45,12847.57143
769.94,12840.57143
770.43,12834.57143
770.92,12817.14286
771.40,12826.14286
771.89,12833.71429
772.38,12842.71429
772.87,12842.71429
773.36,12852.85714
773.84,12864.57143
774.33,12887.42857
774.82,12891.42857
775.31,12894.28571
775.80,12899.85714
776.29,12914.42857
776.77,12917.00000
777.26,12915.85714
777.75,12931.42857
778.24,12921.14286
778.73,12927.57143
779.22,12915.28571
779.71,12915.14286
780.19,12920.14286
780.68,12925.85714
781.17,12902.57143
781.66,12907.00000
782.15,12905.00000
782.64,12908.85714
783.13,12891.71429
783.61,12877.85714
784.10,12870.28571
784.59,12876.28571
785.08,12875.00000
785.57,12854.57143
786.06,12840.71429
786.55,12843.71429
787.04,12837.28571
787.53,12822.85714
788.01,12798.00000
788.50,12784.28571
788.99,12775.42857
789.48,12779.57143
789.97,12764.85714
790.46,12762.00000
790.95,12758.28571
791.44,12765.71429
791.93,12762.57143
792.42,12766.14286
792.91,12760.28571
793.39,12762.28571
793.88,12755.00000
794.37,12757.57143
794.86,12739.57143
795.35,12723.28571
795.84,12703.85714
796.33,12688.71429
796.82,12661.57143
797.31,12644.57143
797.80,12619.00000
798.29,12605.85714
